image_name,total_contours,kept_contours,area_threshold_px
100.png,686,291,10
101.png,1348,523,10
102.png,1228,535,10
103.png,805,392,10
104.png,350,158,10
105.png,720,229,10
106.png,469,196,10
107.png,427,170,10
108.png,745,350,10
13.png,1135,478,10
15.png,1316,549,10
17.png,1163,416,10
18.png,2271,834,10
31.png,1306,614,10
43.png,1451,613,10
44.png,1294,567,10
49.png,1109,418,10
51.png,775,291,10
52.png,727,282,10
57.png,703,307,10
58.png,802,352,10
61.png,609,300,10
64.png,401,212,10
68.png,1186,588,10
77.png,456,204,10
