image_name,cluster_id,size_category,total_edge_pixels,num_contours,num_circular,centroid_x,centroid_y
100.png,1,Small,52,3,1,843,1867
100.png,2,Small,45,2,1,698,1905
100.png,3,Small,254,4,0,1035,1784
100.png,4,Medium,1204,5,2,321,1770
100.png,5,Small,192,5,0,173,1684
100.png,6,Small,38,2,1,607,1691
100.png,7,Small,91,3,0,782,1632
100.png,8,Large,1953,3,0,988,1672
100.png,9,Small,162,1,0,247,1634
100.png,10,Small,207,2,0,59,1609
100.png,11,Small,57,2,0,836,1523
100.png,12,Medium,866,9,0,1053,1433
100.png,13,Small,35,2,0,609,1412
100.png,14,Small,150,6,1,906,1383
100.png,15,Small,150,5,1,772,1328
100.png,16,Small,439,9,1,467,1276
100.png,17,Small,85,2,0,1035,1339
100.png,18,Medium,602,3,0,352,1279
100.png,19,Small,116,4,1,38,1159
100.png,20,Small,408,2,0,573,1214
100.png,21,Small,436,6,0,1035,1117
100.png,22,Small,17,1,0,431,1102
100.png,23,Small,135,5,0,1057,1000
100.png,24,Large,1968,9,0,855,970
100.png,25,Medium,1310,13,0,919,815
100.png,26,Medium,588,2,0,1025,750
100.png,27,Small,176,7,0,516,711
100.png,28,Small,23,1,0,3,745
100.png,29,Medium,560,12,0,716,650
100.png,30,Small,330,4,0,218,658
100.png,31,Medium,773,19,0,363,602
100.png,32,Medium,1110,25,2,496,540
100.png,33,Medium,571,8,1,999,587
100.png,34,Small,380,10,2,284,545
100.png,35,Small,388,11,0,791,535
100.png,36,Medium,593,16,1,414,444
100.png,37,Medium,707,12,0,585,428
100.png,38,Medium,866,4,0,1042,440
100.png,39,Large,1812,17,1,445,355
100.png,40,Small,18,1,0,312,405
100.png,41,Small,223,5,0,1068,270
100.png,42,Small,168,6,0,489,270
100.png,43,Medium,534,5,0,559,164
101.png,1,Small,24,1,0,1014,1910
101.png,2,Small,68,3,1,239,1757
101.png,3,Small,101,5,0,524,1724
101.png,4,Small,119,5,0,929,1718
101.png,5,Small,18,1,0,91,1750
101.png,6,Small,47,1,0,648,1629
101.png,7,Small,301,2,0,891,1608
101.png,8,Small,17,1,1,268,1563
101.png,9,Small,78,1,0,400,1497
101.png,10,Small,258,4,0,1004,1448
101.png,11,Small,249,3,0,132,1423
101.png,12,Small,219,1,0,805,1417
101.png,13,Small,341,5,0,921,1278
101.png,14,Small,261,6,1,1012,1216
101.png,15,Small,40,2,0,141,1197
101.png,16,Medium,862,5,0,576,1210
101.png,17,Medium,750,2,0,843,1130
101.png,18,Medium,635,10,1,739,986
101.png,19,Small,403,14,3,126,988
101.png,20,Medium,1493,13,1,531,978
101.png,21,Medium,923,13,0,329,938
101.png,22,Medium,1221,14,0,822,875
101.png,23,Medium,556,17,2,673,820
101.png,24,Medium,1057,10,0,449,816
101.png,25,Medium,731,21,1,161,867
101.png,26,Small,21,1,0,1068,896
101.png,27,Small,173,4,0,25,826
101.png,28,Large,3050,27,1,597,732
101.png,29,Medium,1217,21,2,258,727
101.png,30,Medium,1081,17,0,778,736
101.png,31,Large,1777,26,1,75,684
101.png,32,Large,2482,26,0,418,671
101.png,33,Medium,1255,13,0,870,659
101.png,34,Medium,1137,23,0,654,633
101.png,35,Medium,579,13,1,39,623
101.png,36,Medium,854,15,0,1024,609
101.png,37,Large,1697,23,2,484,593
101.png,38,Medium,715,8,0,341,568
101.png,39,Medium,1057,14,0,800,570
101.png,40,Medium,584,6,0,88,543
101.png,41,Medium,1101,23,1,563,433
101.png,42,Small,52,1,0,1075,494
101.png,43,Medium,1186,13,0,754,420
101.png,44,Medium,685,9,0,416,420
101.png,45,Medium,1302,19,1,69,386
101.png,46,Medium,1317,22,1,508,291
101.png,47,Small,249,1,0,164,336
101.png,48,Small,280,6,0,457,230
